Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
107.24       39.3228     34.75      1    887575.6836    2.5942       100    120.8295    0    35.6912    0       1593.1723      35.6268    0.9682
107.78       39.7251     35.32      1    883554.7485    2.5789       100    120.8339    0    35.543    0       1603.5208      35.6612    0.9678
108.32       40.1292     35.88      1    879580.3833    2.5618       100    120.8382    0    35.3952    0       1613.8277      35.6952    0.9673
108.86       40.5349     36.45      1    875645.5688    2.5467       100    120.8425    0    35.2477    0       1624.0996      35.7287    0.9668
109.4       40.9422     37.03      1    871745.3003    2.5359       100    120.8468    0    35.1003    0       1634.4339      35.7619    0.9664
109.94       41.3512     37.61      1    867844.1772    2.5319       100    120.8511    0    34.9534    0       1644.8288      35.795    0.9659
110.48       41.7618     38.2      1    863950.7446    2.5329       100    120.8554    0    34.807    0       1655.3206      35.828    0.9654
111.02       42.174     38.8      1    860043.5181    2.5424       100    120.8596    0    34.6616    0       1665.9066      35.8608    0.9649
111.56       42.5879     39.4      1    856140.3809    2.5529       100    120.8639    0    34.5173    0       1676.4402      35.8931    0.9644
112.1       43.0034     40      1    852278.8696    2.5574       100    120.8681    0    34.3742    0       1686.886      35.9248    0.964
112.64       43.4204     40.61      1    848479.4922    2.5517       100    120.8723    0    34.2328    0       1697.0604      35.9554    0.9635
113.18       43.839     41.23      1    844797.6074    2.5262       100    120.8766    0    34.093    0       1706.9646      35.985    0.963
113.72       44.2588     41.85      1    841227.8442    2.4866       100    120.8809    0    33.9539    0       1716.5624      36.0136    0.9625
114.26       44.6799     42.47      1    837786.8652    2.4329       100    120.8853    0    33.8149    0       1725.7612      36.0409    0.9621
114.8       45.102     43.1      1    834507.2632    2.3643       100    120.8897    0    33.6757    0       1734.4152      36.0667    0.9616
115.34       45.525     43.74      1    831428.1006    2.2821       100    120.8942    0    33.5361    0       1742.5148      36.0909    0.9612
115.88       45.9486     44.38      1    828551.8188    2.1853       100    120.8988    0    33.3961    0       1749.9802      36.1135    0.9608
116.42       46.3726     45.02      1    825908.3252    2.0711       100    120.9035    0    33.2556    0       1756.7184      36.1342    0.9605
116.96       46.7968     45.67      1    823516.8457    1.9445       100    120.9083    0    33.1139    0       1762.7199      36.153    0.9601
117.5       47.2209     46.32      1    821381.0425    1.8087       100    120.9133    0    32.971    0       1768.0632      36.1703    0.9598
118.04       47.6448     46.97      1    819456.3599    1.6736       100    120.9183    0    32.8254    0       1773.0169      36.1867    0.9595
118.58       48.0681     47.63      1    817659.79    1.5559       100    120.9233    0    32.6748    0       1777.7352      36.2026    0.9592
119.12       48.4909     48.29      1    815953.3691    1.4607       100    120.9284    0    32.5202    0       1782.2238      36.2181    0.9589
119.66       48.9131     48.95      1    814328.6743    1.3913       100    120.9339    0    32.3635    0       1786.5408      36.2332    0.9586
120.2       49.3345     49.62      1    812769.043    1.3402       100    120.9393    0    32.2056    0       1790.6519      36.2476    0.9584
120.74       49.755     50.29      1    811286.9873    1.2944       100    120.9446    0    32.0469    0       1794.518      36.2613    0.9581
121.28       50.1747     50.96      1    809896.2402    1.2485       100    120.9499    0    31.8891    0       1798.0733      36.2742    0.9578
121.82       50.5934     51.63      1    808612.5488    1.1975       100    120.9551    0    31.7325    0       1801.3271      36.2864    0.9576
122.52       51.1344     52.51      1    807424.7437    1.1441       100    120.9604    0    31.5749    0       1805.3183      36.3016    0.9573
123.24       51.6889     53.41      1    805886.7798    1.0922       100    120.9672    0    31.3677    0       1809.2248      36.317    0.957
123.98       52.2564     54.36      1    804474.2432    1.0395       100    120.9745    0    31.1475    0       1812.8191      36.3317    0.9567
124.72       52.8213     55.29      1    803154.2358    0.9951       100    120.9823    0    30.9277    0       1816.3321      36.3462    0.9564
125.46       53.3837     56.23      1    801869.4458    0.9601       100    120.9899    0    30.7036    0       1819.7515      36.3602    0.9561
126.2       53.9434     57.18      1    800594.1162    0.9345       100    120.9973    0    30.4767    0       1823.2774      36.3745    0.9558
126.92       54.4855     58.1      2    762851    0       100    121.0046    0    30.2499    0       1827.1176      36.3897    0.9555
127.44       54.8755     58.78      2    656972.4731    0       100    121.0115    0    30.0259    0       1830.1024      36.3998    0.9553
127.94       55.2496     59.42      2    656238.4644    0.5076       100    121.0161    0    29.8845    0       1833.0085      36.4103    0.955
128.44       55.6226     60.07      2    655502.9907    0.5082       100    121.0212    0    29.7398    0       1835.9455      36.4213    0.9548
128.94       55.9944     60.72      2    654770.2637    0.6348       100    121.0267    0    29.5853    0       1838.8909      36.4321    0.9546
129.44       56.3651     61.38      2    654037.7808    0.737       100    121.032    0    29.4314    0       1841.8602      36.4427    0.9543
